Function                                             CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Instructions Retired  Microarchitecture Usage(%)  Microarchitecture Usage:Microarchitecture Usage(%)  Microarchitecture Usage:CPI Rate  Module                                 Function (Full)                                                                                                                               Source File                      Start Address
func@0x10bc260                                         0.003s                   0.003s                  0s                      0s                     0                       16.0%                                               16.0%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x10bc260                                                                                                                                [Unknown]                        0x10bc260    
func@0x1183090                                         0.003s                   0.003s                  0s                      0s             9,900,000                       29.4%                                               29.4%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1183090                                                                                                                                [Unknown]                        0x1183090    
func@0x1198b20                                         0.003s                   0.003s                  0s                      0s             9,900,000                        0.0%                                                0.0%                             0.667  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1198b20                                                                                                                                [Unknown]                        0x1198b20    
func@0x15b970                                          0.003s                   0.003s                  0s                      0s                     0                        0.0%                                                0.0%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x15b970                                                                                                                                 [Unknown]                        0x15b970     
func@0x168860                                          0.003s                   0.003s                  0s                      0s                     0                        0.0%                                                0.0%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x168860                                                                                                                                 [Unknown]                        0x168860     
func@0x16aece0                                         0.003s                   0.003s                  0s                      0s             6,600,000                        8.3%                                                8.3%                             2.500  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x16aece0                                                                                                                                [Unknown]                        0x16aece0    
func@0x177f40                                          0.003s                   0.003s                  0s                      0s                     0                       12.5%                                               12.5%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x177f40                                                                                                                                 [Unknown]                        0x177f40     
func@0x18e530                                          0.003s                   0.003s                  0s                      0s             3,300,000                        1.8%                                                1.8%                             1.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x18e530                                                                                                                                 [Unknown]                        0x18e530     
func@0x198100                                          0.003s                   0.003s                  0s                      0s             6,600,000                       26.7%                                               26.7%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x198100                                                                                                                                 [Unknown]                        0x198100     
func@0x264c10                                          0.003s                   0.003s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x264c10                                                                                                                                 [Unknown]                        0x264c10     
func@0x378d0                                           0.003s                   0.003s                  0s                      0s                     0                        0.0%                                                0.0%                                    libGLX_mesa.so.0.0.0                   func@0x378d0                                                                                                                                  [Unknown]                        0x378d0      
func@0x3ded20                                          0.003s                   0.003s                  0s                      0s                     0                        0.0%                                                0.0%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x3ded20                                                                                                                                 [Unknown]                        0x3ded20     
func@0x3f89a0                                          0.003s                   0.003s                  0s                      0s             6,600,000                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x3f89a0                                                                                                                                 [Unknown]                        0x3f89a0     
func@0x41a2e0                                          0.003s                   0.003s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             2.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x41a2e0                                                                                                                                 [Unknown]                        0x41a2e0     
func@0x436290                                          0.003s                   0.003s                  0s                      0s                     0                        1.8%                                                1.8%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x436290                                                                                                                                 [Unknown]                        0x436290     
func@0x48360                                           0.003s                   0.003s                  0s                      0s                     0                        0.0%                                                0.0%                                    libGLdispatch.so.0.0.0                 func@0x48360                                                                                                                                  [Unknown]                        0x48360      
func@0x56f00                                           0.003s                   0.003s                  0s                      0s                     0                        0.0%                                                0.0%                                    libSDL2-2.0.so.0.3000.0                func@0x56f00                                                                                                                                  [Unknown]                        0x56f00      
func@0x656d0                                           0.003s                   0.003s                  0s                      0s                     0                        0.0%                                                0.0%                                    libSDL2-2.0.so.0.3000.0                func@0x656d0                                                                                                                                  [Unknown]                        0x656d0      
func@0xd1b40                                           0.003s                   0.003s                  0s                      0s                     0                        0.0%                                                0.0%                                    libSDL2-2.0.so.0.3000.0                func@0xd1b40                                                                                                                                  [Unknown]                        0xd1b40      
func@0xd8830                                           0.003s                   0.003s                  0s                      0s                     0                        3.4%                                                3.4%                                    libSDL2-2.0.so.0.3000.0                func@0xd8830                                                                                                                                  [Unknown]                        0xd8830      
func@0xe79c0                                           0.003s                   0.003s                  0s                      0s                     0                        2.9%                                                2.9%                                    libSDL2-2.0.so.0.3000.0                func@0xe79c0                                                                                                                                  [Unknown]                        0xe79c0      
func@0xe7c0                                            0.003s                   0.003s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libglapi.so.0.0.0                      func@0xe7c0                                                                                                                                   [Unknown]                        0xe7c0       
func@0xecd10                                           0.003s                   0.003s                  0s                      0s                     0                        0.0%                                                0.0%                                    libSDL2-2.0.so.0.3000.0                func@0xecd10                                                                                                                                  [Unknown]                        0xecd10      
get_bits                                               0.003s                   0.003s                  0s                      0s            13,200,000                       52.6%                                               52.6%                             0.500  scene_tile_test                        get_bits                                                                                                                                      bzip.c                           0x1139c0     
int_queue_pop                                          0.003s                   0.003s                  0s                      0s             6,600,000                       24.1%                                               24.1%                             1.500  scene_tile_test                        int_queue_pop                                                                                                                                 render.c                         0x2db90      
map_tile_coord_to_chunk_coord                          0.003s                   0.003s                  0s                      0s             9,900,000                        5.6%                                                5.6%                             0.000  scene_tile_test                        map_tile_coord_to_chunk_coord                                                                                                                 maps.h                           0x2e1d5      
map_tile_coord_to_chunk_coord                          0.003s                   0.003s                  0s                      0s             3,300,000                       33.3%                                               33.3%                             3.000  scene_tile_test                        map_tile_coord_to_chunk_coord                                                                                                                 maps.h                           0x2de24      
memset                                                 0.003s                   0.003s                  0s                      0s                     0                        0.0%                                                0.0%                                    scene_tile_test                        memset                                                                                                                                        string_fortified.h               0x303f5      
murmur3_32_update                                      0.003s                   0.003s                  0s                      0s            23,100,000                       30.4%                                               30.4%                             1.000  scene_tile_test                        murmur3_32_update                                                                                                                             ht.c                             0x34854      
project_vertices_array_avx2                            0.003s                   0.003s                  0s                      0s            52,800,000                       32.8%                                               32.8%                             0.125  scene_tile_test                        project_vertices_array_avx2                                                                                                                   projection_simd.u.c              0x24f58      
project_vertices_array_noyaw_avx2                      0.003s                   0.003s                  0s                      0s                     0                      100.0%                                              100.0%                                    scene_tile_test                        project_vertices_array_noyaw_avx2                                                                                                             projection_simd.u.c              0x24c93      
shade_blend                                            0.003s                   0.003s                  0s                      0s            89,100,000                       34.3%                                               34.3%                             0.222  scene_tile_test                        shade_blend                                                                                                                                   shade.h                          0x22745      
shade_blend8_avx2                                      0.003s                   0.003s                  0s                      0s             3,300,000                       38.7%                                               38.7%                             2.000  scene_tile_test                        shade_blend8_avx2                                                                                                                             texture_simd.u.c                 0x22406      
tcache_get_n                                           0.003s                   0.003s                  0s                      0s             6,600,000                        0.0%                                                0.0%                             2.000  libc.so.6                              tcache_get_n                                                                                                                                  malloc.c                         0xad7a6      
ImDrawList::_PopUnusedDrawCmd                          0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                                    scene_tile_test                        ImDrawList::_PopUnusedDrawCmd(void)                                                                                                           imgui_draw.cpp                   0x84740      
ImFont::GetFontBaked                                   0.002s                   0.002s                  0s                      0s            13,200,000                        0.0%                                                0.0%                             0.500  scene_tile_test                        ImFont::GetFontBaked(float, float)                                                                                                            imgui_draw.cpp                   0x992b0      
ImGui::ButtonEx                                        0.002s                   0.002s                  0s                      0s                     0                       27.3%                                               27.3%                             0.000  scene_tile_test                        ImGui::ButtonEx(char const*, ImVec2 const&, int)                                                                                              imgui_widgets.cpp                0xb85c9      
ImGui::CalcTextSize                                    0.002s                   0.002s                  0s                      0s             6,600,000                       20.0%                                               20.0%                             1.000  scene_tile_test                        ImGui::CalcTextSize(char const*, char const*, bool, float)                                                                                    imgui.cpp                        0x43910      
ImGui::DataTypeFormatString                            0.002s                   0.002s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             2.000  scene_tile_test                        ImGui::DataTypeFormatString(char*, int, int, void const*, char const*)                                                                        imgui_widgets.cpp                0xbdd40      
ImGui::End                                             0.002s                   0.002s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             2.000  scene_tile_test                        ImGui::End(void)                                                                                                                              imgui.cpp                        0x6a370      
ImGui::EndFrame                                        0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                                    scene_tile_test                        ImGui::EndFrame(void)                                                                                                                         imgui.cpp                        0x76950      
ImGui::GetIO                                           0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        ImGui::GetIO(void)                                                                                                                            imgui.cpp                        0x43030      
ImGui::IsMousePosValid                                 0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                                    scene_tile_test                        ImGui::IsMousePosValid(ImVec2 const*)                                                                                                         imgui.cpp                        0x6e2fc      
ImGui::NavUpdate                                       0.002s                   0.002s                  0s                      0s             3,300,000                        4.8%                                                4.8%                             1.000  scene_tile_test                        ImGui::NavUpdate(void)                                                                                                                        imgui.cpp                        0x58710      
ImGui::Render                                          0.002s                   0.002s                  0s                      0s                     0                        5.3%                                                5.3%                                    scene_tile_test                        ImGui::Render(void)                                                                                                                           imgui.cpp                        0x77980      
ImGui::SetWindowSize                                   0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        ImGui::SetWindowSize(ImGuiWindow*, ImVec2 const&, int)                                                                                        imgui.cpp                        0x46260      
ImGui::SliderBehavior                                  0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                                    scene_tile_test                        ImGui::SliderBehavior(ImRect const&, unsigned int, int, void*, void const*, void const*, char const*, int, ImRect*)                           imgui_widgets.cpp                0x6b19       
SDL_RenderGeometryRaw                                  0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                                    libSDL2-2.0.so.0.3000.0                SDL_RenderGeometryRaw                                                                                                                         [Unknown]                        0x54b10      
UpdateKeyRoutingTable                                  0.002s                   0.002s                  0s                      0s            16,500,000                       44.4%                                               44.4%                             0.000  scene_tile_test                        UpdateKeyRoutingTable                                                                                                                         imgui.cpp                        0x6df1b      
UpdateMouseInputs                                      0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        UpdateMouseInputs                                                                                                                             imgui.cpp                        0x6e245      
UpdateViewportsNewFrame                                0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                                    scene_tile_test                        UpdateViewportsNewFrame                                                                                                                       imgui.cpp                        0x6d2e1      
XCheckIfEvent                                          0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libX11.so.6.4.0                        XCheckIfEvent                                                                                                                                 [Unknown]                        0x1f8b0      
__GI___ioctl                                           0.002s                   0.002s                  0s                      0s             6,600,000                       13.0%                                               13.0%                             2.000  libc.so.6                              __GI___ioctl                                                                                                                                  ioctl.c                          0x124db0     
___pthread_mutex_unlock                                0.002s                   0.002s                  0s                      0s             3,300,000                        4.3%                                                4.3%                             1.000  libc.so.6                              ___pthread_mutex_unlock                                                                                                                       pthread_mutex_unlock.c           0xa1a70      
__popcountdi2                                          0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libgcc_s.so.1                          __popcountdi2                                                                                                                                 [Unknown]                        0x6140       
__strcmp_avx2                                          0.002s                   0.002s                  0s                      0s                     0                        7.4%                                                7.4%                                    libc.so.6                              __strcmp_avx2                                                                                                                                 strcmp-avx2.S                    0x18af90     
_dbus_message_loader_queue_messages                    0.002s                   0.002s                  0s                      0s                     0                        7.7%                                                7.7%                                    libdbus-1.so.3.32.4                    _dbus_message_loader_queue_messages                                                                                                           [Unknown]                        0x24cf0      
_dl_new_hash                                           0.002s                   0.002s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             2.000  ld-linux-x86-64.so.2                   _dl_new_hash                                                                                                                                  dl-new-hash.h                    0xb103       
_mm256_blendv_epi8                                     0.002s                   0.002s                  0s                      0s            23,100,000                       25.0%                                               25.0%                             0.571  scene_tile_test                        _mm256_blendv_epi8                                                                                                                            avx2intrin.h                     0x252d0      
_mm256_mullo_epi32                                     0.002s                   0.002s                  0s                      0s             9,900,000                       20.0%                                               20.0%                             0.000  scene_tile_test                        _mm256_mullo_epi32                                                                                                                            avx2intrin.h                     0x24cba      
_mm256_packus_epi16                                    0.002s                   0.002s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  scene_tile_test                        _mm256_packus_epi16                                                                                                                           avx2intrin.h                     0x25f26      
_mm256_packus_epi16                                    0.002s                   0.002s                  0s                      0s            26,400,000                        0.0%                                                0.0%                             0.250  scene_tile_test                        _mm256_packus_epi16                                                                                                                           avx2intrin.h                     0x27571      
_mm256_set1_epi32                                      0.002s                   0.002s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  scene_tile_test                        _mm256_set1_epi32                                                                                                                             avxintrin.h                      0x24bec      
_mm256_set1_epi32                                      0.002s                   0.002s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  scene_tile_test                        _mm256_set1_epi32                                                                                                                             avxintrin.h                      0x24c7e      
_mm256_srli_epi16                                      0.002s                   0.002s                  0s                      0s            13,200,000                       38.8%                                               38.8%                             1.000  scene_tile_test                        _mm256_srli_epi16                                                                                                                             avx2intrin.h                     0x26e23      
_mm256_srli_epi16                                      0.002s                   0.002s                  0s                      0s            16,500,000                       30.7%                                               30.7%                             1.000  scene_tile_test                        _mm256_srli_epi16                                                                                                                             avx2intrin.h                     0x27555      
_mm256_srli_epi16                                      0.002s                   0.002s                  0s                      0s            42,900,000                       34.4%                                               34.4%                             0.000  scene_tile_test                        _mm256_srli_epi16                                                                                                                             avx2intrin.h                     0x2756c      
_mm256_storeu_si256                                    0.002s                   0.002s                  0s                      0s            23,100,000                       75.0%                                               75.0%                             0.286  scene_tile_test                        _mm256_storeu_si256                                                                                                                           avxintrin.h                      0x25296      
alpha_blend                                            0.002s                   0.002s                  0s                      0s                     0                       11.1%                                               11.1%                                    scene_tile_test                        alpha_blend                                                                                                                                   alpha.h                          0x244fa      
alpha_blend4_avx2                                      0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        alpha_blend4_avx2                                                                                                                             gouraud_simd_alpha.u.c           0x24351      
apply_lighting                                         0.002s                   0.002s                  0s                      0s            26,400,000                       37.5%                                               37.5%                             0.000  scene_tile_test                        apply_lighting                                                                                                                                lighting.c                       0x31ce0      
calculate_vertex_normals                               0.002s                   0.002s                  0s                      0s            42,900,000                       52.8%                                               52.8%                             0.154  scene_tile_test                        calculate_vertex_normals                                                                                                                      lighting.c                       0x31a60      
clamp                                                  0.002s                   0.002s                  0s                      0s            39,600,000                       45.1%                                               45.1%                             0.333  scene_tile_test                        clamp                                                                                                                                         clamp.h                          0x26c88      
dbus_connection_dispatch                               0.002s                   0.002s                  0s                      0s                     0                       16.7%                                               16.7%                                    libdbus-1.so.3.32.4                    dbus_connection_dispatch                                                                                                                      [Unknown]                        0x18040      
dbus_connection_get_is_connected                       0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libdbus-1.so.3.32.4                    dbus_connection_get_is_connected                                                                                                              [Unknown]                        0x11140      
exp_inline                                             0.002s                   0.002s                  0s                      0s             6,600,000                       15.2%                                               15.2%                             1.000  libm.so.6                              exp_inline                                                                                                                                    e_pow.c                          0x7a332      
func@0x10080                                           0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libglapi.so.0.0.0                      func@0x10080                                                                                                                                  [Unknown]                        0x10080      
func@0x1073160                                         0.002s                   0.002s                  0s                      0s             3,300,000                        4.8%                                                4.8%                             2.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1073160                                                                                                                                [Unknown]                        0x1073160    
func@0x1074e70                                         0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1074e70                                                                                                                                [Unknown]                        0x1074e70    
func@0x1075500                                         0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1075500                                                                                                                                [Unknown]                        0x1075500    
func@0x1079750                                         0.002s                   0.002s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             1.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1079750                                                                                                                                [Unknown]                        0x1079750    
func@0x107b2f0                                         0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x107b2f0                                                                                                                                [Unknown]                        0x107b2f0    
func@0x1087a30                                         0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1087a30                                                                                                                                [Unknown]                        0x1087a30    
func@0x108aa30                                         0.002s                   0.002s                  0s                      0s                     0                        2.7%                                                2.7%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x108aa30                                                                                                                                [Unknown]                        0x108aa30    
func@0x108c660                                         0.002s                   0.002s                  0s                      0s                     0                        4.5%                                                4.5%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x108c660                                                                                                                                [Unknown]                        0x108c660    
func@0x108f260                                         0.002s                   0.002s                  0s                      0s             6,600,000                       13.2%                                               13.2%                             2.500  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x108f260                                                                                                                                [Unknown]                        0x108f260    
func@0x1090f20                                         0.002s                   0.002s                  0s                      0s             3,300,000                       12.5%                                               12.5%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1090f20                                                                                                                                [Unknown]                        0x1090f20    
func@0x1091460                                         0.002s                   0.002s                  0s                      0s             3,300,000                       18.8%                                               18.8%                             2.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1091460                                                                                                                                [Unknown]                        0x1091460    
func@0x1095900                                         0.002s                   0.002s                  0s                      0s                     0                        5.3%                                                5.3%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1095900                                                                                                                                [Unknown]                        0x1095900    
func@0x10cb1d0                                         0.002s                   0.002s                  0s                      0s                     0                       11.1%                                               11.1%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x10cb1d0                                                                                                                                [Unknown]                        0x10cb1d0    
func@0x10ee70                                          0.002s                   0.002s                  0s                      0s                     0                        0.0%                                                0.0%                                    libSDL2-2.0.so.0.3000.0                func@0x10ee70                                                                                                                                 [Unknown]                        0x10ee70     
