dir	human_name	varp	const_not_started	const_complete	has_run_selftest	run_name	bmp_count	bmp_numbered	journal_bmp_count	leftover_count	has_reset	reset_name	boss_fight	boss_npcs	post_boss_stage	cutscene_or_instance	notes
quest_regicide	Regicide	%regicide_quest	^regicide_not_started	^regicide_complete	no	?	0	?	0	0	no	?	no			yes	2 TODO/stub markers
quest_ribbitingtale	The Ribbiting Tale of a Lily Pad Labour Dispute	%frog_quest	^ribbit_not_started	^ribbit_complete	yes	ribbitrun	81	yes	14	4	yes	ribbitingtale	yes	frog_quest_cuthbert_combat	^ribbit_cuthbert;^ribbit_marcellus_end	yes	14 TODO/stub markers; 4 leftover items (unimplemented)
quest_romeojuliet	Romeo & Juliet	%rjquest	^romeojuliet_not_started	^romeojuliet_complete	yes	romeojulietrun	0	?	0	0	no	?	no			no	26 TODO/stub markers
quest_routequest	In Search of the Myreque	%routequest_myreque_bits	^routequest_not_started	^routequest_complete	no	?	0	?	0	0	no	?	yes	skeleton_hellhound	^routequest_saved_myreque	yes	
quest_rovingelves	Roving Elves	%rovingelves_quest	^rovingelves_not_started	^rovingelves_complete	no	?	0	?	0	0	no	?	no			no	8 TODO/stub markers
quest_royaltrouble	Royal Trouble	%royal_quest	^royal_not_started	^royal_complete	yes	royaltroublerun	104	no	6	6	yes	royaltrouble	yes	royal_sea_snake_mother_smaller	^royal_misc_dungeon_done;^royal_misc_boss_killed	yes	unnumbered bmp scheme (92 scenes); 13 TODO/stub markers; 6 leftover items (unimplemented)
quest_rumdeal	Rum Deal	%deal_quest	^deal_not_started	^deal_complete	yes	rumdealrun	0	?	0	0	yes	rumdeal	yes	deal_evil_spirit;deal_fever_spiders1	^deal_kill_spirit;^deal_control_running;^deal_told_kill_spider;^deal_kill_spider	no	12 TODO/stub markers
quest_runemysteries	Rune Mysteries	%runemysteries	^runemysteries_not_started	^runemysteries_complete	no	?	0	?	0	0	no	?	no			no	18 TODO/stub markers
quest_scorpcatcher	Scorpion Catcher	%scorpcatcher	^scorpcatcher_not_started	^scorpcatcher_complete	yes	scorpcatcherrun	0	?	0	0	no	?	no			no	
quest_scrambled	Scrambled!	%scrambled	^sc_not_started	^sc_complete	yes	scrun	51	yes	6	7	yes	scrambled	no			no	1 legacy/unnumbered bmp names alongside numbered; 5 TODO/stub markers; 7 leftover items (unimplemented)
quest_seaslug	Sea Slug	%seaslugquest	^seaslug_not_started	^seaslug_complete	yes	seaslugrun	0	?	0	0	no	?	no			no	43 TODO/stub markers
quest_secretsofthenorth	Secrets of the North	%sotn	^sn_not_started	^sn_complete	yes	snrun	77	yes	6	10	yes	secretsofthenorth	no			yes	5 TODO/stub markers; 10 leftover items (unimplemented)
quest_shadowsofcustodia	Shadows of Custodia	%soc	^soc_not_started	^soc_complete	yes	socrun	77	yes	12	5	yes	shadowsofcustodia	no			no	12 TODO/stub markers; 5 leftover items (unimplemented)
quest_shadowstorm	Shadow of the Storm	%agrith_quest	^sots_not_started	^sots_complete	no	?	0	?	0	0	yes	shadowstormdye	yes	agrith_naar	^sots_unequip	no	11 TODO/stub markers
quest_sheep	Sheep Shearer	%sheep	^sheep_not_started	^sheep_complete	yes	sheeprun	0	?	0	0	yes	sheep	no			no	8 TODO/stub markers
quest_sheepherder	Sheep Herder	%sheepherderquest	^sheepherder_not_started	^sheepherder_complete	yes	sheepherderrun	0	?	0	0	yes	sheepherder	no			no	24 TODO/stub markers
quest_sinsofthefather	Sins of the Father	%myq5	^sf_not_started	^sf_complete	yes	softrun	105	yes	14	8	yes	sinsofthefather	no			yes	13 TODO/stub markers; 8 leftover items (unimplemented)
quest_sleepinggiants	Sleeping Giants	%sleeping_giants	^sg_not_started	^sg_complete	yes	sgrun	78	yes	7	6	yes	sleepinggiants	no			no	7 TODO/stub markers; 6 leftover items (unimplemented)
quest_songoftheelves	Song of the Elves	%sote	^sote_not_started	^sote_complete	yes	soterun	74	yes	7	8	yes	songoftheelves	no			yes	6 TODO/stub markers; 8 leftover items (unimplemented)
quest_soulsbane	A Soul's Bane	%soulbane_prog	^soulsbane_not_started	^soulsbane_complete	no	?	74	no	10	7	yes	soulsbane	no			yes	unnumbered bmp scheme (57 scenes); 10 TODO/stub markers; 7 leftover items (unimplemented)
quest_spiritsoftheelid	Spirits of the Elid	%elidquest	^elid_not_started	^elid_complete	no	?	0	?	0	0	no	?	yes	elid_golem_white;elid_golem_grey;elid_golem_black		no	26 TODO/stub markers
quest_squire	The Knight's Sword	%squire	^squire_not_started	^squire_complete	yes	squirerun	0	?	0	0	no	?	no			no	18 TODO/stub markers
quest_swansong	Swan Song	%swansong	^ssq_not_started	^ssq_complete	no	?	100	yes	6	6	no	?	yes	swan_troll_ambush;swan_seatroll_queen	calc;^ssq_ready_to_fight;^ssq_trolls_beaten;^ssq_queen_fight (+more)	yes	21 TODO/stub markers; 6 leftover items (unimplemented)
quest_taleoftherighteous	Tale of the Righteous	%shayzienquest	^tor_not_started	^tor_complete	yes	torrun	54	yes	9	6	yes	taleoftherighteous	no			no	1 legacy/unnumbered bmp names alongside numbered; 9 TODO/stub markers; 6 leftover items (unimplemented)
quest_tasteofhope	A Taste of Hope	%myq4	^toh_not_started	^toh_complete	yes	tohrun	59	yes	9	7	yes	tasteofhope	no			yes	8 TODO/stub markers; 7 leftover items (unimplemented)
quest_tbwt	Tai Bwo Wannai Trio	%tbwt_main	^tbwt_not_started	^tbwt_complete	no	?	0	?	0	0	no	?	no			yes	12 TODO/stub markers
quest_tearsofguthix	Tears of Guthix	%tog_juna_bowl	^tog_not_started	^tog_complete	no	?	0	?	0	0	yes	toglantern	no			no	3 TODO/stub markers
quest_templeoftheeye	Temple of the Eye	%tote	^toe_not_started	^toe_complete	yes	toerun	64	yes	9	5	yes	templeoftheeye	no			yes	3 legacy/unnumbered bmp names alongside numbered; 8 TODO/stub markers; 5 leftover items (unimplemented)
quest_theeyesofglouphrie	The Eyes of Glouphrie	%eyeglo_quest	^eyeglo_not_started	^eyeglo_complete	yes	eyesofglouphrierun	57	yes	9	3	no	?	yes	eyeglo_fluffie_1;eyeglo_fluffie_2;eyeglo_fluffie_3;eyeglo_fluffie_4;eyeglo_fluffie_5;eyeglo_fluffie_6	^eyeglo_creature_killed	no	8 TODO/stub markers; 3 leftover items (unimplemented)
quest_thefeud	The Feud	%feud_var	^feud_not_started	^feud_complete	no	?	0	?	0	0	no	?	yes	feud_menap_toughguy;feud_bandit_toughguy	^feud_ready_confront;^feud_menaphite_beaten;^feud_bandit_beaten	no	30 TODO/stub markers
quest_thefremennikisles	The Fremennik Isles	%fris_quest	^fris_not_started	^fris_complete	yes	fremennikislesrun	161	yes	0	4	no	?	yes	fris_troll_king_true	^fris_kill_trolls;^fris_decapitate_king	yes	58 legacy/unnumbered bmp names alongside numbered; 27 TODO/stub markers; 4 leftover items (unimplemented)
quest_thegreatbrainrobbery	The Great Brain Robbery	%brain_quest_var	^brain_not_started	^brain_complete	no	?	92	yes	14	4	no	?	yes	brain_barrel_chest	^brain_confronting;^brain_ready_to_finish	yes	1 legacy/unnumbered bmp names alongside numbered; 12 TODO/stub markers; 4 leftover items (unimplemented)
quest_theslugmenace	The Slug Menace	%slug2_main	^slug_not_started	^slug_complete	yes	theslugmenacerun	0	?	0	0	yes	theslugmenace	yes	slug2_the_slug_prince	^slug_runes_used;^slug_prince_dead	yes	12 TODO/stub markers; has checked-in selftest bmps but no debugproc bmp_ found (check); stale: server/scripts/selftest/quest_theslugmenace has checked-in .bmp fixtures but no bmp_ debugproc exists in current scripts (drift)
quest_totem	Tribal Totem	%handelmort_traps_disabled	^totem_not_started	^totem_complete	yes	totemrun	0	?	0	0	no	?	no			yes	
quest_toweroflife	Tower of Life	%tol_prog	^tol_not_started	^tol_complete	no	?	120	yes	10	3	no	?	no			no	8 legacy/unnumbered bmp names alongside numbered; 18 TODO/stub markers; 3 leftover items (unimplemented)
quest_tree	Tree Gnome Village quest	%treequest	^tree_not_started	^tree_complete	yes	treerun	0	?	0	0	no	?	yes	khazard_warlord	queue_defeat_warlord	no	26 TODO/stub markers
quest_troll	Troll Stronghold	%troll_quest	^troll_not_started	^troll_complete	no	?	0	?	0	0	no	?	yes	troll_champion	^troll_started;^troll_defeated_dad;^false	yes	varp name not in a local .varp file, taken from configs/quest_troll.constant's own prose comment
quest_troll_love	Troll Romance	%troll_love	^troll_love_not_started	^troll_love_complete	no	?	0	?	0	0	no	?	yes	trollromance_arrg_attackable	^troll_love_dispose_of_arrg;^troll_love_defeated_arrg	yes	2 TODO/stub markers
quest_troubledtortugans	Troubled Tortugans	%tt	^ttq_not_started	^ttq_complete	yes	ttrun	59	yes	8	6	yes	troubledtortugans	no			yes	1 legacy/unnumbered bmp names alongside numbered; 7 TODO/stub markers; 6 leftover items (unimplemented)
quest_twilightspromise	Twilight's Promise	%vmq2	^tp_not_started	^tp_complete	yes	tprun	94	yes	13	6	yes	twilightspromise	no			yes	13 TODO/stub markers; 6 leftover items (unimplemented)
quest_upass	Underground Pass quest	%upass	^upass_not_started	^upass_complete	no	?	0	?	0	0	no	?	yes	upass_paladin2;upass_doomion_safe;upass_holthion_safe;upass_othainian_safe;ibanmonk;upass_paladin1 (+more)	upass_respawn_paladin2;upass_respawn_demons;upass_respawn_disciple;upass_respawn_paladin1 (+more)	yes	38 TODO/stub markers
quest_vampire	Vampyre Slayer	%vampire	^quest_vampire_not_started	^vampire_complete	yes	vampirerun	0	?	0	0	no	?	yes	count_draynor	quest_vampire_complete	no	33 TODO/stub markers
quest_viking	The Fremennik Trials	%viking	^viking_not_started	^viking_complete	no	?	0	?	0	0	no	?	yes	viking_enemy1;viking_enemy2;viking_enemy3;viking_enemy4;viking_draugen	2;3;4	yes	12 TODO/stub markers
quest_wanted	Wanted!	%wanted_main	^wanted_not_started	^wanted_complete	yes	wantedrun	0	?	0	0	yes	wanted	yes	wanted_solus_attackable	^wanted_hunt;^wanted_final_battle	no	15 TODO/stub markers
quest_waterfall	Waterfall Quest	%waterfall_quest	^waterfall_not_started	^waterfall_complete	no	?	0	?	0	0	no	?	no			yes	29 TODO/stub markers
quest_whatliesbelow	What Lies Below	%surok_quest	^wlb_not_started	^wlb_complete	no	?	70	yes	9	2	yes	whatliesbelow	yes	surok_king	^wlb_arrest	yes	9 TODO/stub markers; 2 leftover items (unimplemented)
quest_whileguthixsleeps	While Guthix Sleeps	%wgs	^wgs_not_started	^wgs_complete	yes	wgsrun	106	yes	18	10	yes	whileguthixsleeps	no			yes	1 legacy/unnumbered bmp names alongside numbered; 17 TODO/stub markers; 10 leftover items (unimplemented)
quest_xmarksthespot	X Marks the Spot	%cluequest	^xmarks_not_started	^xmarks_complete	yes	xmarksrun	31	yes	7	3	yes	xmarksthespot	no			no	7 TODO/stub markers; 3 leftover items (unimplemented)
quest_zanaris	Lost City	%zanaris	^zanaris_not_started	^zanaris_complete	yes	zanarisrun	0	?	0	0	no	?	yes	tree_spirit	queue_defeat_tree_spirit	yes	1 TODO/stub markers
quest_zogreflesheaters	Zogre Flesh Eaters	%zogre	^zfe_not_started	^zfe_complete	no	?	0	?	0	0	yes	zogre	yes	zogre_human_brentle_vahn;zogre_slash_bash	^zfe_grish_key;^zfe_slash_bash	no	16 TODO/stub markers
quest_zombiequeen	Shilo Village	%zq_map_mechanisms	^zombiequeen_not_started	^zombiequeen_complete	no	?	0	?	0	0	no	?	yes	zq_mainzombie1;zq_mainzombie2;zq_mainzombie3	defeat_nazastarool1;defeat_nazastarool2;defeat_nazastarool3	yes	
