# 3rd/rsprot/gen/packet_versions.txt -- RSProt packet LAYOUT-VERSION ledger
#
# GENERATED FILE. Do not hand-edit.
#   generator : tools/rsprot_version_ledger.py
#   regenerate: python3 tools/rsprot_version_ledger.py
#   source    : /Users/matthewevers/Documents/git_repos/rsprot
#   revisions : osrs-221 .. osrs-239 (19 vendored)
#
# VERSION NUMBERS ARE APPEND-ONLY.
#   A (CLASS, DIR, HASH) triple keeps its VER forever. New layouts get the next
#   free number; existing numbers are never reassigned, renumbered or reused.
#   The generator aborts rather than change one, so C tables and generated
#   codecs can hard-code these numbers. Each class numbers its layouts 1..N in
#   ascending order of the revision that first introduced them.
#
# HASH is the first 12 hex digits of the SHA-256 of the normalised bodies of
# every function declared in the codec's .kt file, in source order: comments
# stripped, revision tokens folded to "osrsREV", whitespace collapsed. Nothing
# outside a function body contributes (no package, imports, class header, prot
# property or companion constants). Private same-file helpers ARE included --
# NpcHitEncoder.encode is a two-line dispatcher into pHits()/pHeadBars(), and an
# entry-point-only hash would report 1 layout for 221-236 instead of 16.
# A layout change living entirely in a CROSS-FILE helper (LoginBlockDecoder,
# PlayerInfo bit-packing, JagByteBuf) does NOT move this hash.
# HASH e3b0c44298fc is the empty body: a zero-payload packet
# (NoOpMessageEncoder) or a body-less interface declaration.
#
# DIR is RSProt-relative (RSProt is a server library):
#   out = *Encoder.kt = server -> client
#   in  = *Decoder.kt = client -> server
#
# REVS lists the revisions whose module contains that exact layout, as ranges
# (e.g. "221-230,233"). RETIRED means the layout is no longer present in any
# vendored revision; its number stays reserved.
#
# Columns are tab-separated:
#   CLASS  DIR  MODULE  VER  HASH  REVS
#
# SUMMARY
#   classes (class,dir pairs)  : 423
#     out (encoders)           : 278
#     in  (decoders)           : 145
#   distinct layouts           : 2490
#     out                      : 1616
#     in                       : 874
#   layouts per class          : min 1, max 19, mean 5.89
#   classes with 1 layout      : 198   (never change across their revisions)
#   classes changing every rev : 69
#   classes whose every layout : 348
#     is one contiguous run       (their C table row is a single range)
#   contiguous revision runs   : 2834
#     total, i.e. what a naive per-revision-run scheme would need. Deduplicating
#     recurring layouts by hash saves 344 codec bodies. Recurrence is real:
#     IfOpenTopEncoder cycles p2/p2Alt1/p2Alt2/p2Alt3 over 13 runs but only 4
#     distinct layouts, and revs 223-224 and 227-230 are byte-identical files.
CLASS	DIR	MODULE	VER	HASH	REVS
IfOpenSubEncoder	out	desktop	11	9f8fb69c1069	231
IfOpenSubEncoder	out	desktop	12	ed0c17fad0da	232
IfOpenSubEncoder	out	desktop	13	a752fd18ebde	233
IfOpenSubEncoder	out	desktop	14	715fa94f60ee	234
IfOpenSubEncoder	out	desktop	15	21fbd1a30e44	235,238
IfOpenSubEncoder	out	desktop	16	ccac60270320	236
IfOpenSubEncoder	out	desktop	17	9c2fa7717459	237
IfOpenSubEncoder	out	desktop	18	4cb51a28bbe3	239
IfOpenTopEncoder	out	desktop	1	37b8b83fba48	221,225,236
IfOpenTopEncoder	out	desktop	2	0a32c23653a8	222,226,235,238
IfOpenTopEncoder	out	desktop	3	f03ba1916d2a	223-224,227-230,232-234,237
IfOpenTopEncoder	out	desktop	4	6f6381a52f30	231,239
IfResyncEncoder	out	desktop	1	b437169ecd4b	223-230
IfResyncV1Encoder	out	desktop	1	b437169ecd4b	231
IfResyncV2Encoder	out	desktop	1	2e4ea9c76d71	231-239
IfScriptTriggerDecoder	in	desktop	1	845b35b2daa9	231
IfScriptTriggerDecoder	in	desktop	2	66ec130bff20	232
IfScriptTriggerDecoder	in	desktop	3	c7c1151c23bb	233
IfScriptTriggerDecoder	in	desktop	4	682f417e7702	234
IfScriptTriggerDecoder	in	desktop	5	b036e7686e38	235
IfScriptTriggerDecoder	in	desktop	6	de203c3730fb	236
IfScriptTriggerDecoder	in	desktop	7	3d80106d8c24	237
IfScriptTriggerDecoder	in	desktop	8	30e3aa9067a9	238
IfScriptTriggerDecoder	in	desktop	9	159b72b3e291	239
IfSetAngleEncoder	out	desktop	1	c1fc461a54dc	221
IfSetAngleEncoder	out	desktop	2	b758f99c7ad5	222
IfSetAngleEncoder	out	desktop	3	705d785c64b3	223
IfSetAngleEncoder	out	desktop	4	be91a08f985a	224
IfSetAngleEncoder	out	desktop	5	dbf677ade409	225
IfSetAngleEncoder	out	desktop	6	86ac4a999fb1	226
IfSetAngleEncoder	out	desktop	7	8afb89f0a06d	227
IfSetAngleEncoder	out	desktop	8	84251275939e	228
IfSetAngleEncoder	out	desktop	9	d1de6140c8dc	229
IfSetAngleEncoder	out	desktop	10	fdf6d4e0f42b	230
IfSetAngleEncoder	out	desktop	11	f4fa241c8772	231
IfSetAngleEncoder	out	desktop	12	49247f157a62	232
IfSetAngleEncoder	out	desktop	13	15ed3a888740	233
IfSetAngleEncoder	out	desktop	14	1f2774c6250e	234
IfSetAngleEncoder	out	desktop	15	c5ded12ee3de	235
IfSetAngleEncoder	out	desktop	16	9cf325a5718d	236
IfSetAngleEncoder	out	desktop	17	ada70cc7a826	237
IfSetAngleEncoder	out	desktop	18	8995d58446d8	238
IfSetAngleEncoder	out	desktop	19	e422c38f4a2a	239
IfSetAnimEncoder	out	desktop	1	0bdbee268dfa	221
IfSetAnimEncoder	out	desktop	2	309c8fb2520f	222,230
IfSetAnimEncoder	out	desktop	3	0d0722dca920	223,228,235
IfSetAnimEncoder	out	desktop	4	b7c394ad3de8	224
IfSetAnimEncoder	out	desktop	5	29af4bcbeb40	225
IfSetAnimEncoder	out	desktop	6	925744b2fd93	226,238
IfSetAnimEncoder	out	desktop	7	d4b1279c803d	227
IfSetAnimEncoder	out	desktop	8	1f1eb7cb1b4b	229
IfSetAnimEncoder	out	desktop	9	d3dc89daa06a	231
IfSetAnimEncoder	out	desktop	10	c6ba7724e5c8	232
IfSetAnimEncoder	out	desktop	11	aacef83f0a55	233,239
IfSetAnimEncoder	out	desktop	12	47b998647a25	234
IfSetAnimEncoder	out	desktop	13	ebd221090ae5	236
IfSetAnimEncoder	out	desktop	14	f173a4df29b5	237
IfSetColourEncoder	out	desktop	1	29c1b6d4d34d	221
IfSetColourEncoder	out	desktop	2	de57dc423b95	222
IfSetColourEncoder	out	desktop	3	2535e539cbfa	223
IfSetColourEncoder	out	desktop	4	f7e6ad2f7c2a	224,227
IfSetColourEncoder	out	desktop	5	997c8ed740dd	225,231
IfSetColourEncoder	out	desktop	6	a75975cb7952	226,229,234
IfSetColourEncoder	out	desktop	7	4c0592fbb4ec	228,235
IfSetColourEncoder	out	desktop	8	090335526f60	230
IfSetColourEncoder	out	desktop	9	2800114a07d6	232
IfSetColourEncoder	out	desktop	10	23a259285505	233
IfSetColourEncoder	out	desktop	11	cef5e18a8e54	236
IfSetColourEncoder	out	desktop	12	40eba7743746	237,239
IfSetColourEncoder	out	desktop	13	cbeb526f0018	238
IfSetEventsEncoder	out	desktop	1	376b115ae06d	221
IfSetEventsEncoder	out	desktop	2	3810c649a8b0	222
IfSetEventsEncoder	out	desktop	3	451fa00043b3	223
IfSetEventsEncoder	out	desktop	4	0ade7cabb1df	224
IfSetEventsEncoder	out	desktop	5	336db2fe0fc1	225
IfSetEventsEncoder	out	desktop	6	cc39562ba8fd	226
IfSetEventsEncoder	out	desktop	7	af5e92f27221	227
IfSetEventsEncoder	out	desktop	8	e55405763811	228
IfSetEventsEncoder	out	desktop	9	f69a1b0976c1	229
IfSetEventsEncoder	out	desktop	10	156ce80827df	230
IfSetEventsV1Encoder	out	desktop	1	37cfcd589714	231
IfSetEventsV2Encoder	out	desktop	1	18afa5b7311b	231
IfSetEventsV2Encoder	out	desktop	2	27fc80c630c8	232
IfSetEventsV2Encoder	out	desktop	3	35b251eb4be7	233
IfSetEventsV2Encoder	out	desktop	4	8852f9d8990b	234
IfSetEventsV2Encoder	out	desktop	5	8d791f3ea51b	235
IfSetEventsV2Encoder	out	desktop	6	cad061cf5119	236
IfSetEventsV2Encoder	out	desktop	7	f379a51e0525	237
IfSetEventsV2Encoder	out	desktop	8	14dd5678fcc8	238
IfSetEventsV2Encoder	out	desktop	9	100a754e9f47	239
IfSetHideEncoder	out	desktop	1	85c92f7e68df	221
IfSetHideEncoder	out	desktop	2	d3cf381d6bfc	222
IfSetHideEncoder	out	desktop	3	929ae4580753	223
IfSetHideEncoder	out	desktop	4	7f64325c841a	224,235
IfSetHideEncoder	out	desktop	5	720255353720	225
IfSetHideEncoder	out	desktop	6	da95358c2ca3	226
IfSetHideEncoder	out	desktop	7	f5ffebf3359b	227
IfSetHideEncoder	out	desktop	8	df0310d3546f	228,233
IfSetHideEncoder	out	desktop	9	863080f7640a	229
IfSetHideEncoder	out	desktop	10	651143b8f79d	230
IfSetHideEncoder	out	desktop	11	84033c533aba	231
IfSetHideEncoder	out	desktop	12	4373643a826f	232
IfSetHideEncoder	out	desktop	13	7d840fd2e7eb	234
IfSetHideEncoder	out	desktop	14	3ed3ad34ba02	236
IfSetHideEncoder	out	desktop	15	2709e35046b0	237
IfSetHideEncoder	out	desktop	16	edc5dd7b459f	238
IfSetHideEncoder	out	desktop	17	7b0d245f72d8	239
IfSetModelEncoder	out	desktop	1	cb124ff7fd70	221
IfSetModelEncoder	out	desktop	2	a5f43f385a00	222,226
IfSetModelEncoder	out	desktop	3	434e96fea1e0	223
IfSetModelEncoder	out	desktop	4	4f3aaf81f231	224
IfSetModelEncoder	out	desktop	5	582bc0311ffc	225
IfSetModelEncoder	out	desktop	6	cc753ae30ce6	227
IfSetModelEncoder	out	desktop	7	f9a0b63eb086	228
IfSetModelEncoder	out	desktop	8	c5e6c103ba4b	229
IfSetModelEncoder	out	desktop	9	85ddf3f2061f	230,233
IfSetModelEncoder	out	desktop	10	79067ca5b2f5	231
IfSetModelEncoder	out	desktop	11	a6a3f5c36ba3	232
IfSetModelEncoder	out	desktop	12	607fe5a74720	234,236
IfSetModelEncoder	out	desktop	13	5c7493184140	235
IfSetModelV1Encoder	out	desktop	1	c074029dc597	237
IfSetModelV2Encoder	out	desktop	1	c0ed386178f4	237
IfSetModelV2Encoder	out	desktop	2	6954f1ada78a	238
IfSetModelV2Encoder	out	desktop	3	9f42fb5f2c62	239
IfSetNpcHeadActiveEncoder	out	desktop	1	96b7199b50b5	221
IfSetNpcHeadActiveEncoder	out	desktop	2	e21cadef5ac0	222
IfSetNpcHeadActiveEncoder	out	desktop	3	1de65687ff82	223
IfSetNpcHeadActiveEncoder	out	desktop	4	b22b538fdd6f	224,239
IfSetNpcHeadActiveEncoder	out	desktop	5	2d915b33f15a	225
IfSetNpcHeadActiveEncoder	out	desktop	6	931a7778c4c0	226
IfSetNpcHeadActiveEncoder	out	desktop	7	ff3077db775d	227
IfSetNpcHeadActiveEncoder	out	desktop	8	753994e49dc1	228
IfSetNpcHeadActiveEncoder	out	desktop	9	adb786408744	229
IfSetNpcHeadActiveEncoder	out	desktop	10	92a56b7a10d2	230-231
IfSetNpcHeadActiveEncoder	out	desktop	11	b3a7d4f6ef16	232
IfSetNpcHeadActiveEncoder	out	desktop	12	365fecc6befb	233,235
IfSetNpcHeadActiveEncoder	out	desktop	13	c5ba5876ff40	234
IfSetNpcHeadActiveEncoder	out	desktop	14	a45b494206ef	236
IfSetNpcHeadActiveEncoder	out	desktop	15	c2110caa6340	237
IfSetNpcHeadActiveEncoder	out	desktop	16	7add039c07db	238
IfSetNpcHeadEncoder	out	desktop	1	404b78eb1be3	221
IfSetNpcHeadEncoder	out	desktop	2	4861676e968a	222-223,225
IfSetNpcHeadEncoder	out	desktop	3	0313ff0b6c80	224
IfSetNpcHeadEncoder	out	desktop	4	085fa119b82c	226
IfSetNpcHeadEncoder	out	desktop	5	99b5cc0befdb	227
IfSetNpcHeadEncoder	out	desktop	6	81d0cc671da8	228
IfSetNpcHeadEncoder	out	desktop	7	f0220d50e482	229
IfSetNpcHeadEncoder	out	desktop	8	a90c2e821f55	230
IfSetNpcHeadEncoder	out	desktop	9	b403491f4358	231,236
IfSetNpcHeadEncoder	out	desktop	10	dd0628d7a1e4	232
IfSetNpcHeadEncoder	out	desktop	11	6f0395f583bc	233
IfSetNpcHeadEncoder	out	desktop	12	ebb6bf993314	234
IfSetNpcHeadEncoder	out	desktop	13	6dbd1945dcf5	235,237
IfSetNpcHeadEncoder	out	desktop	14	d247d5f3104d	238
IfSetNpcHeadEncoder	out	desktop	15	f4047fdf4b0e	239
IfSetObjectEncoder	out	desktop	1	d654f2065a59	221
IfSetObjectEncoder	out	desktop	2	91dafdc39ac3	222
IfSetObjectEncoder	out	desktop	3	72c591175089	223
IfSetObjectEncoder	out	desktop	4	23275421d124	224
IfSetObjectEncoder	out	desktop	5	b37e703d2205	225
IfSetObjectEncoder	out	desktop	6	da775f3fe178	226
IfSetObjectEncoder	out	desktop	7	c7001af0ba59	227
IfSetObjectEncoder	out	desktop	8	eefe3083fedb	228
IfSetObjectEncoder	out	desktop	9	72fa7bff9e72	229
IfSetObjectEncoder	out	desktop	10	f987160f26c4	230
IfSetObjectEncoder	out	desktop	11	5458f6c02c96	231
IfSetObjectEncoder	out	desktop	12	92c5006e4f9e	232
IfSetObjectEncoder	out	desktop	13	e4c17e24a96b	233
IfSetObjectEncoder	out	desktop	14	2f878bdf0c9f	234
IfSetObjectEncoder	out	desktop	15	2ed0e1839f8a	235
IfSetObjectEncoder	out	desktop	16	a65c2572924a	236
IfSetObjectEncoder	out	desktop	17	5aec02eaeb3f	237
IfSetObjectEncoder	out	desktop	18	58f59ea3fff1	238
IfSetObjectEncoder	out	desktop	19	c1304811b1b6	239
IfSetPlayerHeadEncoder	out	desktop	1	1bc5a7440183	221
IfSetPlayerHeadEncoder	out	desktop	2	4d706e067375	222,224-225,228,236,239
IfSetPlayerHeadEncoder	out	desktop	3	0307228dc2e2	223,227,229,232
IfSetPlayerHeadEncoder	out	desktop	4	e8b451bcef4f	226,230,233-235,237
IfSetPlayerHeadEncoder	out	desktop	5	bebf1dcbe7ec	231,238
IfSetPlayerModelBaseColourEncoder	out	desktop	1	52238b798277	221
IfSetPlayerModelBaseColourEncoder	out	desktop	2	5da6a33aba51	222
IfSetPlayerModelBaseColourEncoder	out	desktop	3	5a3e791cce0d	223
IfSetPlayerModelBaseColourEncoder	out	desktop	4	701f1d3e58b9	224
IfSetPlayerModelBaseColourEncoder	out	desktop	5	cf40b2de64d9	225
IfSetPlayerModelBaseColourEncoder	out	desktop	6	d54d6bad8afb	226
IfSetPlayerModelBaseColourEncoder	out	desktop	7	d4649d6361b0	227
IfSetPlayerModelBaseColourEncoder	out	desktop	8	a99f66b4d679	228
IfSetPlayerModelBaseColourEncoder	out	desktop	9	968ac17fc146	229
IfSetPlayerModelBaseColourEncoder	out	desktop	10	9b929de59508	230,239
IfSetPlayerModelBaseColourEncoder	out	desktop	11	9c65238a3e99	231
IfSetPlayerModelBaseColourEncoder	out	desktop	12	7f7c65589a00	232
IfSetPlayerModelBaseColourEncoder	out	desktop	13	83d6058cfc8b	233
IfSetPlayerModelBaseColourEncoder	out	desktop	14	d875f7eb6a92	234
IfSetPlayerModelBaseColourEncoder	out	desktop	15	bf1053044d68	235
IfSetPlayerModelBaseColourEncoder	out	desktop	16	e125e0cb54d0	236
IfSetPlayerModelBaseColourEncoder	out	desktop	17	8c2c28496fbd	237
IfSetPlayerModelBaseColourEncoder	out	desktop	18	2541e8657dc3	238
IfSetPlayerModelBodyTypeEncoder	out	desktop	1	e759d94aedb2	221
IfSetPlayerModelBodyTypeEncoder	out	desktop	2	0dcd3ceeec53	222,228
IfSetPlayerModelBodyTypeEncoder	out	desktop	3	d6e220279ee2	223
IfSetPlayerModelBodyTypeEncoder	out	desktop	4	0cdf7b0fd5bf	224
IfSetPlayerModelBodyTypeEncoder	out	desktop	5	7afda11defc1	225
IfSetPlayerModelBodyTypeEncoder	out	desktop	6	446b38a7fb8d	226,232
IfSetPlayerModelBodyTypeEncoder	out	desktop	7	2c785f8b8fb4	227
IfSetPlayerModelBodyTypeEncoder	out	desktop	8	edd3cc0e7b34	229
IfSetPlayerModelBodyTypeEncoder	out	desktop	9	a68c4b30b997	230,234
IfSetPlayerModelBodyTypeEncoder	out	desktop	10	4444b97ccc1e	231,233
IfSetPlayerModelBodyTypeEncoder	out	desktop	11	7c127df65619	235
IfSetPlayerModelBodyTypeEncoder	out	desktop	12	0717a704f07d	236
IfSetPlayerModelBodyTypeEncoder	out	desktop	13	6de3f78a8a26	237
IfSetPlayerModelBodyTypeEncoder	out	desktop	14	3e73c43d40bb	238
IfSetPlayerModelBodyTypeEncoder	out	desktop	15	c2f9464a26d3	239
IfSetPlayerModelObjEncoder	out	desktop	1	ec1939aac45a	221
IfSetPlayerModelObjEncoder	out	desktop	2	53132329a0e3	222
IfSetPlayerModelObjEncoder	out	desktop	3	003144d7dba6	223,231
IfSetPlayerModelObjEncoder	out	desktop	4	0dd2a34c6519	224
IfSetPlayerModelObjEncoder	out	desktop	5	61a9c865009d	225
IfSetPlayerModelObjEncoder	out	desktop	6	d84a7327ad6a	226
IfSetPlayerModelObjEncoder	out	desktop	7	1da7a88219a0	227
IfSetPlayerModelObjEncoder	out	desktop	8	32587bc4013e	228
IfSetPlayerModelObjEncoder	out	desktop	9	b7fb614450b9	229
IfSetPlayerModelObjEncoder	out	desktop	10	05429d0fdd5a	230
IfSetPlayerModelObjEncoder	out	desktop	11	39e38b7efb2b	232
IfSetPlayerModelObjEncoder	out	desktop	12	0a1494b690bf	233
IfSetPlayerModelObjEncoder	out	desktop	13	40642629d883	234,238
IfSetPlayerModelObjEncoder	out	desktop	14	78dfa4189217	235
IfSetPlayerModelObjEncoder	out	desktop	15	c6c91f4b1401	236
IfSetPlayerModelObjEncoder	out	desktop	16	4752eb2ccb11	237
IfSetPlayerModelObjEncoder	out	desktop	17	10a17503ece0	239
IfSetPlayerModelSelfEncoder	out	desktop	1	a107969344c5	221
IfSetPlayerModelSelfEncoder	out	desktop	2	cfb693e98968	222,228,230
IfSetPlayerModelSelfEncoder	out	desktop	3	d29d2e90ea35	223
IfSetPlayerModelSelfEncoder	out	desktop	4	ace3309c8f49	224,238
IfSetPlayerModelSelfEncoder	out	desktop	5	4f35f2f5bafd	225
IfSetPlayerModelSelfEncoder	out	desktop	6	a13230dc6eaa	226-227
IfSetPlayerModelSelfEncoder	out	desktop	7	f1ccb8d976d3	229
IfSetPlayerModelSelfEncoder	out	desktop	8	9fba6d861cc2	231
IfSetPlayerModelSelfEncoder	out	desktop	9	2a3e20dfbc4b	232
IfSetPlayerModelSelfEncoder	out	desktop	10	fdca236eb9b3	233
IfSetPlayerModelSelfEncoder	out	desktop	11	96835262a6b1	234
IfSetPlayerModelSelfEncoder	out	desktop	12	35065bef4ca4	235,239
IfSetPlayerModelSelfEncoder	out	desktop	13	b468df4d6884	236
IfSetPlayerModelSelfEncoder	out	desktop	14	5273d20e5e3d	237
IfSetPositionEncoder	out	desktop	1	ce99dded962b	221
IfSetPositionEncoder	out	desktop	2	4eeb0aae7532	222
IfSetPositionEncoder	out	desktop	3	04001888f9bd	223
IfSetPositionEncoder	out	desktop	4	a7256ce1261d	224
IfSetPositionEncoder	out	desktop	5	2d270b65f7f5	225
IfSetPositionEncoder	out	desktop	6	16a86b207f22	226
IfSetPositionEncoder	out	desktop	7	2281bf806d14	227
IfSetPositionEncoder	out	desktop	8	974ccd54f2ec	228
IfSetPositionEncoder	out	desktop	9	4a6352b9df51	229
IfSetPositionEncoder	out	desktop	10	fc2ad6753481	230
IfSetPositionEncoder	out	desktop	11	20589d645034	231
IfSetPositionEncoder	out	desktop	12	7dd6faa739a5	232
IfSetPositionEncoder	out	desktop	13	98b183fe75b7	233
IfSetPositionEncoder	out	desktop	14	2280b5bc43e6	234
IfSetPositionEncoder	out	desktop	15	ea1d6a7aea9e	235
IfSetPositionEncoder	out	desktop	16	294cf842dac4	236
IfSetPositionEncoder	out	desktop	17	0164fb42e101	237
IfSetPositionEncoder	out	desktop	18	b1aca167adf8	238
IfSetPositionEncoder	out	desktop	19	274e18e8eea6	239
IfSetRotateSpeedEncoder	out	desktop	1	30787042f03b	221
IfSetRotateSpeedEncoder	out	desktop	2	4f0fddfb55f0	222
IfSetRotateSpeedEncoder	out	desktop	3	04c30b7c341e	223
IfSetRotateSpeedEncoder	out	desktop	4	359ce9a89447	224
IfSetRotateSpeedEncoder	out	desktop	5	0e10fdf31d11	225
IfSetRotateSpeedEncoder	out	desktop	6	6c54bd7814bf	226
IfSetRotateSpeedEncoder	out	desktop	7	d38a10ccf4cd	227
IfSetRotateSpeedEncoder	out	desktop	8	47d92fd2969f	228
IfSetRotateSpeedEncoder	out	desktop	9	54ed1e7fe62e	229
IfSetRotateSpeedEncoder	out	desktop	10	9c5f279978d9	230
IfSetRotateSpeedEncoder	out	desktop	11	057ae8dcde39	231,237
IfSetRotateSpeedEncoder	out	desktop	12	9760a763ceae	232
IfSetRotateSpeedEncoder	out	desktop	13	2fa38888e2a4	233
IfSetRotateSpeedEncoder	out	desktop	14	960dc57f3a96	234
IfSetRotateSpeedEncoder	out	desktop	15	61663a9466c7	235
IfSetRotateSpeedEncoder	out	desktop	16	035d7ddfd337	236
IfSetRotateSpeedEncoder	out	desktop	17	648eb16a0a27	238
IfSetRotateSpeedEncoder	out	desktop	18	019dc2297fc5	239
IfSetScrollPosEncoder	out	desktop	1	a8baf9335cc6	221
IfSetScrollPosEncoder	out	desktop	2	0eee29faa969	222
IfSetScrollPosEncoder	out	desktop	3	451331c76249	223,234
IfSetScrollPosEncoder	out	desktop	4	b946a4cff93f	224,233
IfSetScrollPosEncoder	out	desktop	5	834b3e406d53	225
IfSetScrollPosEncoder	out	desktop	6	e9a4d52e0a49	226
IfSetScrollPosEncoder	out	desktop	7	d565d339c1c2	227
IfSetScrollPosEncoder	out	desktop	8	e86096573790	228
IfSetScrollPosEncoder	out	desktop	9	730ffadb04c1	229
IfSetScrollPosEncoder	out	desktop	10	773054674cc4	230,239
IfSetScrollPosEncoder	out	desktop	11	6e0dfeec96dd	231
IfSetScrollPosEncoder	out	desktop	12	3b2ba03a6bda	232
IfSetScrollPosEncoder	out	desktop	13	cde3cbb7da7b	235
IfSetScrollPosEncoder	out	desktop	14	08858a15db84	236-237
IfSetScrollPosEncoder	out	desktop	15	d3d9bfab3a89	238
IfSetTextEncoder	out	desktop	1	c543a898b223	221
IfSetTextEncoder	out	desktop	2	42a14aaede74	222,227,231
IfSetTextEncoder	out	desktop	3	7b256da90a6e	223,228
IfSetTextEncoder	out	desktop	4	3d21aac12e6c	224,237-238
IfSetTextEncoder	out	desktop	5	56d1bea729f3	225,229,234
IfSetTextEncoder	out	desktop	6	b34de0648675	226,230,235-236,239
IfSetTextEncoder	out	desktop	7	e0008ab782b9	232
IfSetTextEncoder	out	desktop	8	653e65225dfe	233
IfSubOpDecoder	in	desktop	1	1d0b1631d167	224-239
IgnoreListAddDecoder	in	desktop	1	1754b22b49a7	221-239
IgnoreListDelDecoder	in	desktop	1	78cbe3bd8d77	221-239
InitGameConnectionDecoder	in	shared	1	6ef768167dee	221-239
InitJs5RemoteConnectionDecoder	in	shared	1	20abd92c621c	221-222
InitJs5RemoteConnectionDecoder	in	shared	2	cd379d0f4665	223-239
Js5GroupResponseEncoder	out	shared	1	d57f3df0712b	221-224
Js5GroupResponseEncoder	out	shared	2	770e4a5c210c	225-239
Js5MessageDecoder	in	api	1	f054d27a003f	221-224
Js5MessageDecoder	in	api	2	e09869aa82c0	225-239
Js5MessageEncoder	out	api	1	c47f76a8fb5a	221-224
Js5MessageEncoder	out	api	2	4e571a455e19	225-239
LocAddChangeEncoder	out	desktop	1	8fbc162e3f5a	221
LocAddChangeEncoder	out	desktop	2	7333882496de	222
LocAddChangeEncoder	out	desktop	3	ff0720070c5e	223
LocAddChangeEncoder	out	desktop	4	d4b71e002e93	224
LocAddChangeEncoder	out	desktop	5	6705c4163b05	225
LocAddChangeEncoder	out	desktop	6	4501f8fc7829	226
LocAddChangeEncoder	out	desktop	7	064bc8504999	227
LocAddChangeV1Encoder	out	desktop	1	01d494522f37	228
LocAddChangeV2Encoder	out	desktop	1	89f45bfaac58	228
LocAddChangeV2Encoder	out	desktop	2	d35c5c2176ae	229
LocAddChangeV2Encoder	out	desktop	3	028657a8e2a5	230
LocAddChangeV2Encoder	out	desktop	4	fd9a0df6408e	231
LocAddChangeV2Encoder	out	desktop	5	0b3d588d3273	232
LocAddChangeV2Encoder	out	desktop	6	2251ab4aaa94	233
LocAddChangeV2Encoder	out	desktop	7	2eed25d0ce50	234
LocAddChangeV2Encoder	out	desktop	8	50031d8828cd	235
LocAddChangeV2Encoder	out	desktop	9	010f6fc9f246	236
LocAddChangeV2Encoder	out	desktop	10	7d36520cc9dd	237
LocAddChangeV2Encoder	out	desktop	11	1d1c178bc1b8	238
LocAddChangeV2Encoder	out	desktop	12	17ffab5a4e94	239
LocAnimEncoder	out	desktop	1	5a6a9f9b4853	221
LocAnimEncoder	out	desktop	2	9ce3b8c83893	222
LocAnimEncoder	out	desktop	3	b0bfaa61e869	223
LocAnimEncoder	out	desktop	4	61382ddaf8da	224
LocAnimEncoder	out	desktop	5	8a3e82cd9633	225
LocAnimEncoder	out	desktop	6	b93b548610b4	226
LocAnimEncoder	out	desktop	7	35f9f49d566a	227
LocAnimEncoder	out	desktop	8	1eae996a3e02	228
LocAnimEncoder	out	desktop	9	2487d095b697	229
LocAnimEncoder	out	desktop	10	cd51f5ddcf88	230
LocAnimEncoder	out	desktop	11	75eac724ac20	231
LocAnimEncoder	out	desktop	12	a02bbcd3402f	232
LocAnimEncoder	out	desktop	13	cd3c536665a1	233
LocAnimEncoder	out	desktop	14	6f15b865d5c0	234,237
LocAnimEncoder	out	desktop	15	0137c15689df	235
LocAnimEncoder	out	desktop	16	0ee324a52b66	236
LocAnimEncoder	out	desktop	17	24e916daf81a	238
LocAnimEncoder	out	desktop	18	35aabc9f9dfd	239
LocAnimSpecificEncoder	out	desktop	1	1036bb88f2ef	221
LocAnimSpecificEncoder	out	desktop	2	97b73f34f208	222
LocAnimSpecificEncoder	out	desktop	3	cbb960104a38	223
LocAnimSpecificEncoder	out	desktop	4	9fa360d21c6d	224
LocAnimSpecificEncoder	out	desktop	5	3dd1dc3042e8	225
LocAnimSpecificEncoder	out	desktop	6	6e77fd0e635d	226
LocAnimSpecificEncoder	out	desktop	7	91c890bbf0de	227
LocAnimSpecificEncoder	out	desktop	8	63844251897c	228
LocAnimSpecificEncoder	out	desktop	9	429f76f9e592	229
LocAnimSpecificEncoder	out	desktop	10	bb1d647d2b2c	230
LocAnimSpecificEncoder	out	desktop	11	b7ff965deb5d	231
LocAnimSpecificEncoder	out	desktop	12	33b9fc6fc04e	232
LocAnimSpecificEncoder	out	desktop	13	0c608b8ae3cd	233
LocAnimSpecificEncoder	out	desktop	14	139300957cfc	234
LocAnimSpecificEncoder	out	desktop	15	6890320a8094	235
LocAnimSpecificEncoder	out	desktop	16	bc33647df91e	236
LocAnimSpecificEncoder	out	desktop	17	fd20c4fdae27	237
LocAnimSpecificEncoder	out	desktop	18	5a28e308d627	238
LocAnimSpecificEncoder	out	desktop	19	6bf2fe11e7ee	239
LocDelEncoder	out	desktop	1	e3646da5111f	221
LocDelEncoder	out	desktop	2	65682f380e68	222,229
LocDelEncoder	out	desktop	3	0328e5a72fbe	223
LocDelEncoder	out	desktop	4	0c7f941a5fe7	224
LocDelEncoder	out	desktop	5	13b00ab22064	225
LocDelEncoder	out	desktop	6	9bf86512e615	226,235
LocDelEncoder	out	desktop	7	8a0f8a10b722	227
LocDelEncoder	out	desktop	8	997314ce1e23	228
LocDelEncoder	out	desktop	9	1bf2112daecc	230,233
LocDelEncoder	out	desktop	10	3fb50bbf80ce	231
LocDelEncoder	out	desktop	11	03df0d99c8e7	232,234
