graphics/raster/batch/raster.batch.h	impl/raster/walk/walk.batched.h
graphics/raster/texture/texsphere.persp.texalpha.facealpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.texalpha.facealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.texalpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.texalpha.nofacealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.texalpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.texalpha.nofacealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.texalpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.texalpha.nofacealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.texopaque.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.texopaque.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.texopaque.facealpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.texopaque.facealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.texopaque.facealpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.texopaque.facealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.texopaque.facealpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.texopaque.facealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.texopaque.facealpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.texopaque.facealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.texopaque.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.texopaque.nofacealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.texopaque.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.texopaque.nofacealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.texopaque.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.texopaque.nofacealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.textrans.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.textrans.nofacealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.textrans.facealpha.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.textrans.facealpha.nomodulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.textrans.facealpha.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.textrans.facealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.textrans.facealpha.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.textrans.facealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.textrans.facealpha.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.textrans.facealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.textrans.modulate.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.textrans.nofacealpha.modulate.painter.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.textrans.modulate.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.textrans.nofacealpha.modulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/texture/texsphere.persp.textrans.zbuf.branching.lerp8_v3.u.c	impl/raster/tex/raster.texsphere.perspective.textrans.nofacealpha.nomodulate.zbuf.branching.lerp8_v3.scalar.u.c
graphics/raster/zbuffer/zbuf.screen.u.c	impl/raster/zbuf/raster.zbuf.screen.walker.u.c
triangles/toridraw_triangle_clip.u.c	impl/raster/dispatch/tri.clip.u.c
triangles/toridraw_triangle_face_alpha.u.c	impl/raster/dispatch/tri.face_alpha.u.c
triangles/toridraw_triangle_flat.u.c	impl/raster/dispatch/tri.flat.u.c
triangles/toridraw_triangle_gouraud.u.c	impl/raster/dispatch/tri.gouraud.u.c
triangles/toridraw_triangle_texture_affine.u.c	impl/raster/dispatch/tri.texture_affine.u.c
triangles/toridraw_triangle_texture_opaque.u.c	impl/raster/dispatch/tri.texture_opaque.u.c
triangles/toridraw_triangle_texture_transparent.u.c	impl/raster/dispatch/tri.texture_transparent.u.c
triangles/toridraw_triangle_zbuf.u.c	impl/raster/dispatch/tri.zbuf.u.c
